EventId,EventTemplate,Occurrences
6a79b0f0,2005] [notice] LDAP: Built with OpenLDAP LDAP SDK,13
53f4306b,2005] [notice] LDAP: SSL support unavailable,13
772433cc,2005] [notice] suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),2
035d637a,2005] [notice] Digest: generating secret for digest authentication ...,11
f63397af,2005] [notice] <*> <*>,22
5c67eeb7,2005] [error] env.createBean2(): Factory error creating <*> ( <*> <*>,44
2abf6d82,2005] [error] config.update(): Can't create <*>,44
beb9ed00,2005] [notice] mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,11
6608fc12,2005] [notice] Apache/2.0.49 (Fedora) configured -- resuming normal operations,11
0c207ad5,2005] [notice] jk2_init() Found child <*> in scoreboard slot <*>,119
0a274703,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,325
1d3b3246,2005] [error] mod_jk child init 1 <*>,210
712a9507,2005] [error] [client <*> Directory index forbidden by rule: /var/www/html/,2227
037d1655,2005] [error] [client <*> File does not exist: <*>,1315
e396c257,2005] [error] jk2_init() Can't find child <*> in scoreboard,206
87ccfeb1,2005] [error] [client <*> script not found or unable to stat: <*>,158
8e381868,2005] [notice] mod_jk2 Shutting down,203
bc1d100d,"2005] [notice] Graceful restart requested, doing restart",9
a8a98fba,2005] [error] [client <*> request failed: URI too long (longer than 8190),14
9f17d827,2005] [error] mod_jk child workerEnv in error state <*>,34
2419f6c7,2005] [error] [client <*> request failed: error reading the headers,9
