LineId,Month,Day,Time,Level,Content,EventId,EventTemplate,ParameterList
1,[Thu,Jun,09,06:07:04,2005] [notice] LDAP: Built with OpenLDAP LDAP SDK,fd21ee58,2005] [notice] <*>,['LDAP: Built with OpenLDAP LDAP SDK']
2,[Thu,Jun,09,06:07:04,2005] [notice] LDAP: SSL support unavailable,fd21ee58,2005] [notice] <*>,['LDAP: SSL support unavailable']
3,[Thu,Jun,09,06:07:04,2005] [notice] suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),082bc0ad,2005] [notice] suEXEC mechanism enabled (wrapper /usr/sbin/suexec),[]
4,[Thu,Jun,09,06:07:05,2005] [notice] Digest: generating secret for digest authentication ...,19fc14e6,2005] [notice] Digest <*>,[]
5,[Thu,Jun,09,06:07:05,2005] [notice] Digest: done,19fc14e6,2005] [notice] Digest <*>,[]
6,[Thu,Jun,09,06:07:05,2005] [notice] LDAP: Built with OpenLDAP LDAP SDK,fd21ee58,2005] [notice] <*>,['LDAP: Built with OpenLDAP LDAP SDK']
7,[Thu,Jun,09,06:07:05,2005] [notice] LDAP: SSL support unavailable,fd21ee58,2005] [notice] <*>,['LDAP: SSL support unavailable']
8,[Thu,Jun,09,06:07:05,"2005] [error] env.createBean2(): Factory error creating channel.jni:jni ( channel.jni, jni)",23db3fc1,2005] [error] <*> <*> <*> <*> channel.jni jni <*>,[]
9,[Thu,Jun,09,06:07:05,2005] [error] config.update(): Can't create channel.jni:jni,23db3fc1,2005] [error] <*> <*> <*> <*> channel.jni jni <*>,[]
10,[Thu,Jun,09,06:07:05,"2005] [error] env.createBean2(): Factory error creating vm: ( vm, )",da66c499,2005] [error] <*> <*> <*> <*> vm <*>,[]
11,[Thu,Jun,09,06:07:05,2005] [error] config.update(): Can't create vm:,da66c499,2005] [error] <*> <*> <*> <*> vm <*>,[]
12,[Thu,Jun,09,06:07:05,"2005] [error] env.createBean2(): Factory error creating worker.jni:onStartup ( worker.jni, onStartup)",bc427d59,2005] [error] <*> <*> <*> <*> worker.jni onStartup <*>,[]
13,[Thu,Jun,09,06:07:05,2005] [error] config.update(): Can't create worker.jni:onStartup,bc427d59,2005] [error] <*> <*> <*> <*> worker.jni onStartup <*>,[]
14,[Thu,Jun,09,06:07:05,"2005] [error] env.createBean2(): Factory error creating worker.jni:onShutdown ( worker.jni, onShutdown)",8b6d650f,2005] [error] <*> <*> <*> <*> worker.jni onShutdown <*>,[]
15,[Thu,Jun,09,06:07:05,2005] [error] config.update(): Can't create worker.jni:onShutdown,8b6d650f,2005] [error] <*> <*> <*> <*> worker.jni onShutdown <*>,[]
16,[Thu,Jun,09,06:07:16,2005] [notice] mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,0f03f38a,2005] [notice] mod_python Creating 32 session mutexes based on 150 max processes and 0 max threads.,[]
17,[Thu,Jun,09,06:07:19,2005] [notice] mod_security/1.9dev2 configured,fd21ee58,2005] [notice] <*>,['mod_security/1.9dev2 configured']
18,[Thu,Jun,09,06:07:19,2005] [notice] Apache/2.0.49 (Fedora) configured -- resuming normal operations,6608fc12,2005] [notice] Apache/2.0.49 (Fedora) configured -- resuming normal operations,[]
19,[Thu,Jun,09,06:07:19,2005] [notice] jk2_init() Found child 2330 in scoreboard slot 0,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2330', 'slot 0']"
20,[Thu,Jun,09,06:07:19,2005] [notice] jk2_init() Found child 2337 in scoreboard slot 7,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2337', 'slot 7']"
21,[Thu,Jun,09,06:07:19,2005] [notice] jk2_init() Found child 2332 in scoreboard slot 2,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2332', 'slot 2']"
22,[Thu,Jun,09,06:07:19,2005] [notice] jk2_init() Found child 2331 in scoreboard slot 1,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2331', 'slot 1']"
23,[Thu,Jun,09,06:07:19,2005] [notice] jk2_init() Found child 2333 in scoreboard slot 3,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2333', 'slot 3']"
24,[Thu,Jun,09,06:07:19,2005] [notice] jk2_init() Found child 2335 in scoreboard slot 5,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2335', 'slot 5']"
25,[Thu,Jun,09,06:07:19,2005] [notice] jk2_init() Found child 2334 in scoreboard slot 4,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2334', 'slot 4']"
26,[Thu,Jun,09,06:07:19,2005] [notice] jk2_init() Found child 2336 in scoreboard slot 6,84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,"['[notice]', 'Found', '2336', 'slot 6']"
27,[Thu,Jun,09,06:07:20,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
28,[Thu,Jun,09,06:07:20,2005] [error] mod_jk child init 1 0,7987e30d,2005] [error] mod_jk child <*> 1 <*>,"['init', '0']"
29,[Thu,Jun,09,06:07:20,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
30,[Thu,Jun,09,06:07:20,2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,fd21ee58,2005] [notice] <*>,['workerEnv.init() ok /etc/httpd/conf/workers2.properties']
