EventId,EventTemplate,Occurrences
fd21ee58,2005] [notice] <*>,564
082bc0ad,2005] [notice] suEXEC mechanism enabled (wrapper /usr/sbin/suexec),2
19fc14e6,2005] [notice] Digest <*>,2
23db3fc1,2005] [error] <*> <*> <*> <*> channel.jni jni <*>,22
da66c499,2005] [error] <*> <*> <*> <*> vm <*>,22
bc427d59,2005] [error] <*> <*> <*> <*> worker.jni onStartup <*>,22
8b6d650f,2005] [error] <*> <*> <*> <*> worker.jni onShutdown <*>,22
0f03f38a,2005] [notice] mod_python Creating 32 session mutexes based on 150 max processes and 0 max threads.,11
6608fc12,2005] [notice] Apache/2.0.49 (Fedora) configured -- resuming normal operations,11
84929df5,2005] <*> jk2_init() <*> child <*> in scoreboard <*>,325
7987e30d,2005] [error] mod_jk child <*> 1 <*>,214
6fdd6d01,2005] [error] [client <*> Directory index forbidden by rule /var/www/html/,2227
e08e7447,2005] [error] [client <*> File does not exist <*>,1315
170ea17d,2005] [notice] LDAP Built with OpenLDAP LDAP SDK,11
77d280be,2005] [notice] Digest generating secret for digest authentication ...,10
9f6f394b,2005] [error] [client <*> script not found or unable to stat <*>,158
fd214697,2005] [notice] Graceful restart requested doing restart,9
3670e656,2005] [error] [client <*> request failed <*>,23
9f17d827,2005] [error] mod_jk child workerEnv in error state <*>,30
