Dataset,Original_Size,gzip_ratio,gzip_ratio_std,bzip2_ratio,bzip2_ratio_std,lzma_ratio,lzma_ratio_std,zstd_raw_ratio,zstd_raw_ratio_std,logpress_ratio,logpress_ratio_std,logzip_ratio,logzip_ratio_std,logreducer_ratio,logreducer_ratio_std
BGL,116443332,13.67,0,16.04,0,23.19,0,22.65,0,22.33,0,13.67,0,18.6,0
Apache,4975683,21.23,0,29.24,0,28.5,0,28.99,0,23.51,0,21.21,0,23.13,0
Hadoop,31887282,14.68,0,22.5,0,25.72,0,29.64,0,23.51,0,14.68,0,18.79,0
HealthApp,23276534,10.85,0,13.7,0,15.56,0,16.25,0,11.81,0,10.85,0,11.56,0
Linux,2350165,11.24,0,14.72,0,19.97,0,19.6,0,14.1,0,11.23,0,13.26,0
Mac,16762268,11.7,0,18.0,0,24.31,0,26.7,0,17.99,0,11.7,0,17.36,0
Openstack,56005959,12.23,0,15.31,0,15.75,0,16.37,0,12.4,0,12.23,0,14.45,0
Proxifier,2519390,15.68,0,23.59,0,20.95,0,20.99,0,13.75,0,15.66,0,16.51,0
SSH,72762360,16.69,0,22.64,0,20.69,0,24.44,0,24.07,0,16.69,0,15.65,0
Zookeeper,10330306,25.89,0,36.09,0,29.81,0,38.66,0,39.84,0,25.87,0,23.23,0
