Dataset,Log Count,Min Length,Max Length,Avg Length,Median Length,Avg Tokens,Total Chars
BGL,826284,100,477,139,139,12.5,115617049
Apache,51978,48,187,94,98,12.9,4923706
Hadoop,179993,65,592,176,187,14.1,31707290
HealthApp,253395,48,294,90,87,3.3,23023140
Linux,25567,29,1030,90,74,12.0,2324119
Mac,117283,1,1314,141,124,13.0,16634140
Openstack,189386,100,450,294,314,20.6,55816574
Proxifier,21320,91,224,117,110,13.7,2498071
SSH,655147,65,188,110,97,13.9,72107214
Zookeeper,74273,75,387,138,134,12.3,10256034
