Dataset,Tokenize,Classify,Template,Encoding,Serialization,Compression,Total
BGL,33.04,273.78,3.71,16.27,396.12,76.77,799.7
Apache,15.49,5.56,3.46,1.5,0.93,1.0,27.93
Hadoop,7.54,12.11,0.94,4.33,1.67,4.52,31.12
HealthApp,5.06,11.58,0.82,4.09,169.84,11.5,202.87
Linux,0.91,1.7,1.22,0.73,0.42,0.36,5.35
Mac,4.9,9.8,0.6,2.63,1.58,4.24,23.75
Openstack,15.21,16.92,1.54,7.55,165.71,33.9,240.83
Proxifier,1.97,1.78,1.91,0.74,0.43,0.62,7.44
SSH,17.58,46.99,2.15,330.43,6.65,45.35,449.14
Zookeeper,10.75,6.45,3.27,2.0,0.97,4.74,28.17
TOTAL,112.44,386.67,19.62,370.27,744.31,182.99,1816.31
