Dataset,DATE,DURATION,EMAIL,HEX,IP_ADDRESS,MODULE,NUMBER,OTHER,PATH,SEPARATOR,SEVERITY,TIMESTAMP,USERNAME,UUID,VERSION,WORD
BGL,0,0,0,152327,3395,0,997650,416943,2833,2589290,826352,1652649,0,0,68,7462893
Apache,0,0,0,0,31090,0,124807,8339,39458,330091,0,155934,0,0,8,315251
Hadoop,179993,1382,0,0,9661,186045,332111,82982,2824,925277,180483,181081,0,0,46417,1408221
HealthApp,28,0,0,0,5,16861,901087,197195,50,1359496,0,211639,0,0,14308,697546
Linux,8,0,24,386,6164,832,66046,12598,292,149810,235,61688,0,0,652,202113
Mac,2058,57,2,24915,3365,20330,336136,109771,9551,856431,619,225036,0,318,22343,1002210
Openstack,189442,0,0,208890,107832,189204,414820,408923,137731,1692603,189386,378828,0,52925,106137,1325743
Proxifier,0,0,0,0,209,29906,68004,17277,0,155013,0,21745,17200,0,30555,126773
SSH,0,0,0,12,549453,560,2097685,281955,3,4790918,0,1310309,0,0,0,6783842
Zookeeper,74273,1762,0,9308,53799,22525,120532,67911,5838,594566,74273,74282,0,0,0,441116
