Dataset,Rank,Count,Percentage,Template
Apache,1,1748,3.4,[ Sun Jan <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> <*PROCESS_ID*> ] [ error ] [ client <*IP_ADDRESS*> ] File does not exist : <*PATH*>
Apache,2,1677,3.2,[ Sat Jan <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> <*PROCESS_ID*> ] [ error ] [ client <*IP_ADDRESS*> ] File does not exist : <*PATH*>
Apache,3,1537,3.0,[ Tue Nov <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> <*PROCESS_ID*> ] [ error ] [ client <*IP_ADDRESS*> ] File does not exist : <*PATH*>
Apache,4,1343,2.6,[ Mon Feb <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> <*PROCESS_ID*> ] [ error ] [ client <*IP_ADDRESS*> ] File does not exist : <*PATH*>
Apache,5,1300,2.5,[ Tue Jan <*PROCESS_ID*> <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> <*PROCESS_ID*> ] [ error ] [ client <*IP_ADDRESS*> ] File does not exist : <*PATH*>
Hadoop,1,5271,2.9,"2015-10-18 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> WARN [ LeaseRenewer : msrabi@msra-sa-41 : <*PROCESS_ID*> ] org.apache.hadoop.ipc.Client : Address change detected. Old : msra-sa-41/10.190.173.170 : <*PROCESS_ID*> New : msra-sa-41 : <*PROCESS_ID*>"
Hadoop,2,3524,2.0,"2015-10-17 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> INFO [ IPC Server handler <*PROCESS_ID*> on <*PROCESS_ID*> ] org.apache.hadoop.mapred.TaskAttemptListenerImpl : MapCompletionEvents request from attempt_1445062781478_0017_r_000000_0. startIndex <*PROCESS_ID*> maxEvents <*PROCESS_ID*>"
Hadoop,3,2982,1.7,"2015-10-17 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> INFO [ main ] org.apache.hadoop.mapred.MapTask : Spilling map output"
Hadoop,4,2550,1.4,"2015-10-17 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> INFO [ SpillThread ] org.apache.hadoop.mapred.MapTask : Finished spill <*PROCESS_ID*>"
Hadoop,5,2464,1.4,"2015-10-18 <*PROCESS_ID*> : <*PROCESS_ID*> : <*PROCESS_ID*> , <*PROCESS_ID*> WARN [ LeaseRenewer : msrabi@msra-sa-41 : <*PROCESS_ID*> ] org.apache.hadoop.hdfs.LeaseRenewer : Failed to renew lease for [ DFSClient_NONMAPREDUCE_-1547462655_1 ] for <*PROCESS_ID*> seconds. Will retry shortly ..."
