Dataset,Original,Level_1,Level_1_Ratio,Level_11,Level_11_Ratio,Level_22,Level_22_Ratio,Gain_Percent
BGL,116443332,9885394,11.77933140550594,7619278,15.282725213596354,5214525,22.330573158629022,47.25020570753174
Apache,4975683,303641,16.386729723588054,239442,20.780326759716342,211648,23.50923703507711,30.29663319512187
Hadoop,31887282,1945000,16.39448946015424,1557819,20.46918287682972,1356469,23.50756412420778,30.25866323907455
HealthApp,23276534,2772062,8.396830229626898,2331052,9.985420316663893,1970843,11.810445580901167,28.903357861404256
Linux,2350165,227604,10.325675295689004,193906,12.12012521531051,166626,14.104431481281432,26.791269046238202
Mac,16762268,1403381,11.944203320409782,1066350,15.719292915084166,931552,17.993915530211947,33.62087701059085
Openstack,56005959,5992611,9.34583589690704,5206634,10.756653722923486,4516545,12.4001773479507,24.63143361049132
Proxifier,2519390,262588,9.594459762060719,202513,12.440633440816145,183248,13.748526586920457,30.21463280881076
SSH,72762360,4499059,16.17279524451669,3715688,19.582473017110157,3022810,24.07109940750494,32.812394769661836
Zookeeper,10330306,414867,24.90028370538028,308159,33.522649022095734,259268,39.8441226838638,37.50575485637565
